"","trainR2","valR2"
"1",0.984325937373774,0.898662497834225
"2",0.997759757269404,0.898346882738722
"3",0.997985381974754,0.8987772631236
"4",0.997169939996248,0.899175491741156
"5",0.997315619814786,0.89892326078527
"6",0.996478458131654,0.898747689033142
"7",0.992031457527899,0.899399677065631
"8",0.996714981724957,0.898310958794362
"9",0.996342033782626,0.899312763694748
"10",0.990426026906127,0.898989032976062
"11",0.974429395256395,0.900054096897932
"12",0.974495426583061,0.897011803579584
"13",0.979430953832248,0.896661426371967
"14",0.994859500445527,0.894192039451902
"15",0.993181079589121,0.89397021725609
"16",0.992287200515961,0.8934242528477
"17",0.990131740987155,0.89434015873119
"18",0.986413657552555,0.893698625355771
"19",0.983258953694379,0.893612877369569
"20",0.977924064005764,0.890727609905733
"21",0.970731524373341,0.889466211939928
"22",0.953208759050345,0.888855660926832
